Brand,Product Name,Price,Stars,Reviews,Category,Weighted_Rating
BLK/OPL,Stay The Day Setting Spray,13.5,5.0,2,Setting Spray and Powder,4.3191520737327185
BLK/OPL,Soft Velvet Finishing Powder,13.5,4.8,45,Setting Spray and Powder,4.5371785342649025
NABLA,Close-Up Baking & Setting Powder,27.0,4.6,23,Setting Spray and Powder,4.390952164600506
FLOWER Beauty,Seal The Deal Hydrating Setting Spray,15.0,4.4,133,Setting Spray and Powder,4.371036484456552
L.A. Girl,Pro Face Matte Pressed Powder,3.5,4.1,115,Setting Spray and Powder,4.156181617709422
Wet n Wild,Photo Focus Setting Spray,6.99,4.0,4311,Setting Spray and Powder,4.003202019657406
Milani,Conceal + Perfect Shine-Proof Powder,11.99,4.7,415,Setting Spray and Powder,4.657575817897702
Revolution Beauty,Fix & Glow Setting Spray,11.0,4.3,41,Setting Spray and Powder,4.295029254906021
FLOWER Beauty,Seal the Deal Luminizing Setting Spray,15.0,4.3,91,Setting Spray and Powder,4.296817292709611
Charlotte Tilbury,Airbrush Flawless Finish Setting Powder Refill,41.0,5.0,3,Setting Spray and Powder,4.332502033071293
J.Cat Beauty,Luxe Pro Powder,6.99,4.1,109,Setting Spray and Powder,4.1583286859021396
FLOWER Beauty,Light Illusion Perfecting Powder,15.0,4.4,165,Setting Spray and Powder,4.37538781073538
J.Cat Beauty,"Skin Bloom, Cream To Powder Compact",5.99,4.3,7,Setting Spray and Powder,4.291956430666108
ColourPop,Pretty Fresh Pressed Face Powder,14.0,4.3,368,Setting Spray and Powder,4.298936547323644
Indeed Labs,Nanoset Blurring Setting Spray,24.99,4.6,57,Setting Spray and Powder,4.4586438446346275
Physicians Formula,Butter Glow Pressed Powder,15.49,4.5,47,Setting Spray and Powder,4.394290565122484
mented cosmetics,Better Setter Setting Spray,28.0,4.3,3,Setting Spray and Powder,4.291325562483058
RMS Beauty,Hydra Setting Powder,42.0,4.8,389,Setting Spray and Powder,4.744067742990014
Mario Badescu,Spritz. Mist. Glow. Set,24.0,4.3,173,Setting Spray and Powder,4.297998206726859
CoverGirl,Simply Ageless Instant Wrinkle Blurring Pressed Powder,17.99,4.2,322,Setting Spray and Powder,4.211777307261179
J.Cat Beauty,"Spray, Set, Go Setting Spray",7.99,3.8,16,Setting Spray and Powder,4.168087557603687
UOMA Beauty,Trippin Smooth Powder,29.5,4.3,59,Setting Spray and Powder,4.295865455015289
Dermablend,Travel Size Loose Setting Powder,12.0,4.2,12,Setting Spray and Powder,4.272626728110598
Ofra Cosmetics,Makeup Fixer Setting Spray,20.0,4.2,143,Setting Spray and Powder,4.222814678987623
LORAC,PRO Loose Setting Powder,30.0,4.8,6,Setting Spray and Powder,4.347363031233999
KIKO Milano,Invisible Touch Face Fixing Powder,20.0,3.0,9,Setting Spray and Powder,4.0869755032743145
NYX Professional Makeup,High Definition Pressed Finishing Powder Mini,3.5,4.4,44,Setting Spray and Powder,4.343017431376478
J.Cat Beauty,LOCK&SEAL LIQUID MAKEUP SETTER,3.99,3.6,23,Setting Spray and Powder,4.067008502628675
FENTY BEAUTY by Rihanna,Invisimatte Refill Instant Setting + Blotting Powder,27.0,3.8,4,Setting Spray and Powder,4.253030840127614
ICONIC LONDON,Prep-Set-Glow Hydrating Setting Spray Mini,15.0,4.7,19,Setting Spray and Powder,4.406829905770686
Ere Perez,Corn Setting Powder,40.0,4.7,3,Setting Spray and Powder,4.314854974247763
UOMA Beauty,Hydroblast Finishing Powder,39.0,4.4,49,Setting Spray and Powder,4.345954677181814
Supergoop!,(Glow)setting Powder 100% Mineral SPF 35,35.0,2.9,13,Setting Spray and Powder,3.9943869456825563
jane iredale,Pommisst Hydration Spray,38.0,4.8,646,Setting Spray and Powder,4.764780408770369
jane iredale,Balance Hydration Spray,38.0,4.6,197,Setting Spray and Powder,4.539418790557697
jane iredale,D2O Hydration Spray,38.0,4.5,253,Setting Spray and Powder,4.466636557098458
jane iredale,Calming Lavender Hydration Spray,38.0,4.8,119,Setting Spray and Powder,4.653638345428957
HALF MAGIC,Dew Lock Hydrating Set + Refresh Mist,23.0,4.6,28,Setting Spray and Powder,4.404705311666262
Charlotte Tilbury,Airbrush Flawless Finish Brightening Powder,48.0,4.0,5,Setting Spray and Powder,4.263351012955395
ICONIC LONDON,Velvet Blur Translucent Setting Powder,29.0,4.9,27,Setting Spray and Powder,4.51010138248848
NABLA,Close-Up Blotting Translucent Pressed Powder,32.0,2.0,2,Setting Spray and Powder,4.199152073732718
FLOWER Beauty,Miracle Matte Universal Finishing Pressed Powder,15.0,4.3,59,Setting Spray and Powder,4.295865455015289
Wet n Wild,Photo Focus Matte Finish Setting Spray,6.99,4.0,2097,Setting Spray and Powder,4.006507041345751
Kate Somerville,UncompliKated SPF Soft Focus Makeup Setting Spray Broad Spectrum SPF 50 Sunscreen,46.0,4.0,240,Setting Spray and Powder,4.048463901689709
ICONIC LONDON,Prep-Set-Glow Hydrating Setting Spray,29.0,4.4,223,Setting Spray and Powder,4.380655364157328
LORAC,POREfection Baked Perfecting Powder,34.0,4.5,701,Setting Spray and Powder,4.4865922612638665
Physicians Formula,Mineral Wear Talc-Free Mineral Airbrushing Pressed Powder SPF 30,14.99,4.0,702,Setting Spray and Powder,4.018610138248848
Kopari Beauty,Sunglaze Sheer Setting Mist Sunscreen SPF 50,34.0,4.7,82,Setting Spray and Powder,4.548904643743353
Wet n Wild,Photo Focus Loose Setting Powder,7.99,4.5,237,Setting Spray and Powder,4.464763521707495
NYX Professional Makeup,Radiant Finish Long Lasting Makeup Setting Spray,10.0,4.0,1250,Setting Spray and Powder,4.010753161545944
Wet n Wild,Photo Focus Loose Setting Powder Banana,7.99,4.5,982,Setting Spray and Powder,4.490250100666636
Tarte,Travel-Size Shape Tape Glow Powder,18.0,4.0,4,Setting Spray and Powder,4.26841545551223
Clinique,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",28.0,4.7,2528,Makeup Remover,4.691906741376417
Lancôme,Bi-Facil Double Action Eye Makeup Remover,36.0,4.8,3409,Makeup Remover,4.792095344714991
Clinique,Travel Size Take The Day Off Makeup Remover,15.0,4.6,293,Makeup Remover,4.559444315034811
Neutrogena,"Makeup Remover Cleansing Towelettes, Twin Pack",13.99,4.6,33087,Makeup Remover,4.599562352023759
Clinique,Take The Day Off Cleansing Balm Makeup Remover,44.0,4.6,3646,Makeup Remover,4.596090063653898
Neutrogena,Oil-Free Eye Makeup Remover,11.99,4.6,5730,Makeup Remover,4.597496217041926
CeraVe,Plant-Based Hydrating Makeup Removing Face Wipes for All Skin Types,11.99,4.3,474,Makeup Remover,4.309125204090401
Neutrogena,Makeup Remover Cleansing Towelettes Fragrance Free,7.99,4.6,33087,Makeup Remover,4.599562352023759
Garnier,Makeup Removing Cleansing Balm Hyaluronic Acid,14.99,4.6,714,Makeup Remover,4.581369121930919
Clinique,Rinse-Off Eye Makeup Remover Solvent,26.0,4.5,477,Makeup Remover,4.485170657505683
Cetaphil,"Gentle Makeup Removing Wipes, Fragrance and Alcohol Free",11.29,4.7,130,Makeup Remover,4.592252650596682
TATCHA,The Camellia Oil 2-in-1 Makeup Remover & Cleanser,50.0,4.8,286,Makeup Remover,4.721714051899369
Clinique,Take The Day Off Cleansing Balm Makeup Remover Mini,15.0,4.6,3646,Makeup Remover,4.596090063653898
Beekman 1802,Micellar Milk Froth Cleansing Gel & Makeup Remover,29.0,4.7,97,Makeup Remover,4.570270192913161
Garnier,Erase It All Makeup Cleansing Balm Vitamin C,14.99,4.6,658,Makeup Remover,4.579925567213703
Garnier,SkinActive Micellar Cleansing Water All-in-1 Cleanser & Makeup Remover,5.59,4.6,19617,Makeup Remover,4.599262829967036
TATCHA,The Indigo Cleansing Balm Moisturizing Makeup Remover,38.0,4.8,392,Makeup Remover,4.739882219384135
e.l.f. Cosmetics,Holy Hydration! Makeup Melting Cleansing Balm,11.0,4.7,10689,Makeup Remover,4.698048699635356
Kiss,Falscara False Eyelash Rosewater Remover,6.49,4.4,613,Makeup Remover,4.397700042351463
Clinique,Clinique Icons Skincare and Makeup Gift Set,89.0,5.0,1,Makeup Remover,4.3854175468243906
HALF MAGIC,Flik Eraser Makeup Correcting Pen,22.0,4.5,72,Makeup Remover,4.441251946645
CeraVe,Comforting Eye Makeup Remover with Hyaluronic Acid,11.99,4.3,415,Makeup Remover,4.310247428251597
Essence,Lash Princess Waterproof Eye Make-Up Remover,4.99,4.8,4,Makeup Remover,4.400599326599326
Neutrogena,Fragrance-Free Makeup Remover Cleansing Towelettes Twin Pack,13.99,4.6,33087,Makeup Remover,4.599562352023759
Neutrogena,Makeup Remover Melting Balm,14.49,3.5,57,Makeup Remover,3.965841508859989
Aveeno,Calm + Restore Makeup Remover Wipes,10.99,4.2,64,Makeup Remover,4.288475368572456
ULTA Beauty Collection,Waterproof Eye & Lip Makeup Remover,9.0,4.0,63,Makeup Remover,4.190537798072045
Good Molecules,Instant Cleansing Balm,15.0,4.4,662,Makeup Remover,4.397855113455389
Neutrogena,Travel Size Makeup Remover Cleansing Towelettes,3.29,4.5,783,Makeup Remover,4.490523389800889
ULTA Beauty Collection,Makeup Removing Towels,10.0,3.5,29,Makeup Remover,4.104972839506172
Kiss,Lash Purify Eye Makeup Remover & Lash Cleanser,8.99,3.7,44,Makeup Remover,4.102447850149
Neutrogena,Night Calming Makeup Remover Cleansing Towelettes Twin Pack,14.99,4.6,185,Makeup Remover,4.541906721536351
MAC,Mini Gently Off Wipes + Micellar Water Makeup Remover Wipes,18.0,3.0,39,Makeup Remover,3.858710397144132
MAC,Gently Off Eye and Lip Makeup Remover,25.0,4.1,70,Makeup Remover,4.232587782587783
ILIA,The Cleanse Soft Foaming Cleanser + Makeup Remover,32.0,4.3,622,Makeup Remover,4.307158651188502
Clinique,Take The Day Off Charcoal Cleansing Balm Makeup Remover,15.0,4.4,308,Makeup Remover,4.395818118588072
ULTA Beauty Collection,Melting Balm Makeup Remover,14.0,4.3,92,Makeup Remover,4.331363341012463
CHANEL,DÉMAQUILLANT YEUX INTENSE Gentle Bi-Phase Eye Makeup Remover,42.0,3.3,7,Makeup Remover,4.2709575429087625
Velour Lashes,Travel Size Lash Clean Oil-Free Makeup Remover,6.5,4.4,497,Makeup Remover,4.397225106726665
Garnier,SkinActive Micellar Cleansing Water All-in-1 Waterproof Makeup Remover,5.59,4.6,14718,Makeup Remover,4.599018531985164
ULTA Beauty Collection,Whoopsie Eye Liner Corrector,10.0,3.6,11,Makeup Remover,4.26325021391028
J.Cat Beauty,Waterproof Makeup Remover,5.99,3.4,16,Makeup Remover,4.182553606237816
Neutrogena,Makeup Remover Cleansing Towelette Singles,10.49,4.6,33052,Makeup Remover,4.599561889488059
Glamnetic,On-The-Go Oopsies Waterproof Makeup Remover,9.0,4.8,52,Makeup Remover,4.564806883971766
Estée Lauder,Take It Away Makeup Remover Lotion,38.0,4.7,325,Makeup Remover,4.646160881856841
L'Oréal,100% Oil Free Eye Makeup Remover,7.99,3.6,180,Makeup Remover,3.805275602466614
Tweezerman,Reusable Makeup Remover Pads,15.0,4.7,297,Makeup Remover,4.641993652256265
jane iredale,Magic Mitt,22.0,4.8,310,Makeup Remover,4.726727695006548
Petite n Pretty,My Stellar Micellar Makeup Remover Wipes,10.0,4.7,67,Makeup Remover,4.540730198889592
Grande Cosmetics,GrandeVANISH Bi-Phase Makeup Remover,22.0,4.9,76,Makeup Remover,4.658907308729689
Indeed Labs,Gentle AF Makeup Removing Foam Cleanser,14.99,3.0,1,Makeup Remover,4.35499929587382
J.Cat Beauty,Invisible Matte Lip Makeup Remover,5.0,4.9,13,Makeup Remover,4.4635524592116225
Estée Lauder,Gentle Eye Makeup Remover,28.0,4.5,340,Makeup Remover,4.480151213597786
L'Oréal,Clean Artiste Waterproof and Long Wearing Eye Makeup Remover,7.99,4.3,275,Makeup Remover,4.314470062409724
e.l.f. Cosmetics,Halo Glow Liquid Filter,14.0,4.6,8542,Highlighter,4.599496391808194
Charlotte Tilbury,Hollywood Flawless Filter,49.0,4.5,516,Highlighter,4.49510247183178
L'Oréal,True Match Lumi Glotion Natural Glow Bronzing Enhancer,16.99,4.4,1208,Highlighter,4.399256830601093
FENTY BEAUTY by Rihanna,Diamond Bomb All-Over Diamond Veil,43.0,4.5,262,Highlighter,4.490643790273616
Anastasia Beverly Hills,Glow Seeker Powder Highlighter,38.0,4.6,38,Highlighter,4.521629408842523
Benefit Cosmetics,Cookie Golden Pearl Powder Highlighter,38.0,4.7,209,Highlighter,4.673405387107694
Charlotte Tilbury,Beauty Highlighter Wand,42.0,4.7,423,Highlighter,4.686340039741679
Smashbox,Smashbox X BECCA Shimmering Skin Perfector Pressed Highlighter,42.0,4.9,7361,Highlighter,4.898724534763668
FENTY BEAUTY by Rihanna,Killawatt Freestyle Highlighter,40.0,4.5,113,Highlighter,4.479920134510299
L'Oréal,Lumi Le Glass and Glow Highlighter Stick,12.99,4.5,372,Highlighter,4.49328950510627
NYX Professional Makeup,Buttermelt Highlight,12.0,4.7,354,Highlighter,4.683799508049431
ColourPop,Liquid Hi-Lite,12.0,4.1,12,Highlighter,4.244469568494441
MILK MAKEUP,Dewy Cream Highlighter Stick,24.0,4.8,233,Highlighter,4.769158469945355
bareMinerals,GEN NUDE Highlighting Blush,29.0,4.7,616,Highlighter,4.690504924938924
Urban Decay Cosmetics,Face Bond Luminizer Waterproof Liquid Highlighter,34.0,4.4,780,Highlighter,4.3988577383768375
Stila,Heaven's Dew All Over Glimmer,30.0,4.6,105,Highlighter,4.564668995789662
IT Cosmetics,Your Most Beautiful You 3-in-1 Makeup Palette,42.0,4.6,1194,Highlighter,4.596440642020098
MILK MAKEUP,Galactic Glow Holographic Highlighter Trio,40.0,3.4,8,Highlighter,4.043584699453552
Clinique,True Highlight Weightless Illuminator Highlighter,44.0,4.7,404,Highlighter,4.6857235569746765
MAC,Mineralize Skinfinish Powder Highlighter,43.0,4.7,293,Highlighter,4.68061166931077
Tarte,Glow Tape Highlighter,18.0,4.3,97,Highlighter,4.306926469178411
NYX Professional Makeup,Jumbo Multi-Use Highlighter Stick,8.0,4.6,461,Highlighter,4.590982463360541
e.l.f. Cosmetics,Halo Glow Highlight Beauty Wand,9.0,4.6,6316,Highlighter,4.599319377465078
BOBBI BROWN,Highlighting Powder,57.0,4.7,323,Highlighter,4.682322404371585
Revolution Beauty,Highlight Reloaded,7.0,4.3,337,Highlighter,4.302230557871013
Charlotte Tilbury,Mini Hollywood Blush & Glow Palette,29.0,3.7,25,Highlighter,3.9616575591985432
Benefit Cosmetics,High Beam Satin Pink Liquid Highlighter,26.0,4.1,76,Highlighter,4.14504965039074
Stila,Heaven's Hue Highlighter,34.0,4.4,456,Highlighter,4.398075301239618
Dior,Forever Glow Maximizer Longwear Liquid Highlighter,45.0,4.6,1590,Highlighter,4.597317745791125
Juvia's Place,Blushed Liquid Blushlighter,18.0,4.2,52,Highlighter,4.23608141284549
DIBS Beauty,Status Stick Face-And-Body Highlighter,38.0,4.7,1165,Highlighter,4.6949150740155146
L'Oréal,Infallible Up to 24H Highlighter,15.99,4.6,190,Highlighter,4.579176896069269
ColourPop,Super Shock Highlighter,9.0,4.4,1092,Highlighter,4.399179096020143
ULTA Beauty Collection,Sculpt & Glow Baked Face Palette,16.0,4.6,325,Highlighter,4.587396542357715
r.e.m. beauty,Dreamglow Highlight Serum,26.0,4.1,20,Highlighter,4.213232905036184
Smashbox,Halo Sculpt + Glow Face Palette With Vitamin E,45.0,4.4,828,Highlighter,4.398922624244189
MAC,Extra Dimension Skinfinish Highlighter,43.0,4.6,214,Highlighter,4.581340335438696
Charlotte Tilbury,Glow Glide Face Architect Highlighter,48.0,4.5,711,Highlighter,4.496414309733982
Too Faced,Moon Crush Multi-Use Powder Highlighter,38.0,5.0,11,Highlighter,4.6032006245121
MILK MAKEUP,Bionic Glow Illuminating Liquid Highlighter with Hyaluronic Acid,36.0,4.6,93,Highlighter,4.5608147044212615
FENTY BEAUTY by Rihanna,Match Stix Shimmer Skinstick,32.0,4.1,48,Highlighter,4.164455653635981
Benefit Cosmetics,Tickle Golden Pink Powder Highlighter,38.0,4.5,45,Highlighter,4.457897056231271
Live Tinted,Hueglow Jumbo Liquid Highlighter Drops,38.0,4.5,386,Highlighter,4.49352262403558
Tarte,Shimmering Light Skin Perfecting Highlighter,32.0,4.6,22,Highlighter,4.489477371444584
ULTA Beauty Collection,Cheek Squad Cream Face Trio,16.0,4.5,113,Highlighter,4.479920134510299
bareMinerals,COMPLEXION RESCUE Liquid Highlighting Blush,28.0,4.1,237,Highlighter,4.11649455703283
Clinique,Chubby Stick Sculpting Highlight,32.0,4.5,127,Highlighter,4.48187234365513
DIBS Beauty,LoveBeam Blurring + Glowing Skin Perfector,38.0,4.8,308,Highlighter,4.776275746111811
Anastasia Beverly Hills,Matte Cream Contour & Highlight Sticks,17.5,4.1,2641,Highlighter,4.1015762293026095
Dior,Forever Glow Star Filter Multi-Use Highlighter - Complexion Enhancing Fluid,55.0,4.6,1319,Highlighter,4.5967736657831875
Revolution Beauty,Beam Bright Highlighter,12.0,4.4,19,Highlighter,4.374711596842745
Anastasia Beverly Hills,Cream Stick Highlighter with Brush Applicator,34.0,4.5,461,Highlighter,4.49453894871619
Benefit Cosmetics,Dew-la-la Liquid Glow Highlighter,38.0,4.8,945,Highlighter,4.791985049362098
Charlotte Tilbury,Mini Filmstar Bronze & Glow,29.0,4.7,18,Highlighter,4.5282747853239655
RMS Beauty,Luminizer,40.0,4.8,1139,Highlighter,4.793330118932818
PÜR,Silky Tint Creamy Multitasking Stick,26.0,4.5,199,Highlighter,4.487914895770087
ColourPop,Pressed Powder Highlighter,12.0,4.5,53,Highlighter,4.462708821233411
HOURGLASS,Ambient Lighting Palette Volume II,73.0,4.1,26,Highlighter,4.197432964798576
NUDESTIX,Nudies All Over Face Color - Glow,35.0,4.4,867,Highlighter,4.398970155527533
r.e.m. beauty,Interstellar Highlighter Topper,28.0,4.5,268,Highlighter,4.4908407631099605
Milani,Stellar Lights Highlighter Palette,15.99,4.7,56,Highlighter,4.617665992963545
CHANEL,BAUME ESSENTIEL Multi-Use Glow Stick,48.0,4.3,31,Highlighter,4.316450364298724
CHANEL,LES BEIGES Sheer Healthy Glow Highlighting Fluid,56.0,4.4,19,Highlighter,4.374711596842745
Essence,Baby Got Glow Liquid Highlighter,5.99,3.2,18,Highlighter,3.756846213895394
Anastasia Beverly Hills,Iced Out Illuminating Powder Highlighter,34.0,4.5,860,Highlighter,4.4970235091064295
Estée Lauder,Bronze Goddess Highlighting Powder Gelee,52.0,4.5,21,Highlighter,4.431305723324705
ELEMIS,Superfood Glow Priming Moisturiser,58.0,4.3,244,Highlighter,4.303025354353788
Milani,Supercharged Bronzer Multistick,9.99,3.5,327,Highlighter,3.5418302833905195
Smashbox,Smashbox X BECCA Shimmering Skin Perfector Pressed Highlighter Mini,23.0,4.7,17,Highlighter,4.523224043715847
NATASHA DENONA,Hy-Gen Skincare Infused Glow Beautifier,48.0,4.7,533,Highlighter,4.689072031793343
KVD Beauty,Shade + Light Refillable Face Contour Palette,52.5,4.4,55,Highlighter,4.387355798421372
HOURGLASS,Ambient Lighting Palette - Volume lll,73.0,4.9,13,Highlighter,4.58632058287796
Rabanne,Pure Metals Multi-Use Powder,22.0,4.7,10,Highlighter,4.47739324023477
Pixi,On-the-Glow SuperGlow Highlight Moisture Stick,18.0,4.8,11,Highlighter,4.524629195940671
Rabanne,Liquid Highlighter Shot,28.0,4.3,91,Highlighter,4.307311273021655
Clinique,Good to Glow Highlighter and Blush Palette,45.0,5.0,2,Highlighter,4.415243025596778
ULTA Beauty Collection,Pillow Puff Illuminating Oil,12.0,4.8,5,Highlighter,4.449528067560855
florence by mills,Self-Reflecting Highlighter Stick,17.0,4.6,210,Highlighter,4.581011530776823
Stila,Heaven's Hue Hydro-Luminator,30.0,4.5,95,Highlighter,4.476693013270882
NATASHA DENONA,Golden Highlighter Trio,55.0,4.7,175,Highlighter,4.668695924408015
Juvia's Place,The Nubian Loose Highlighter,14.0,4.7,309,Highlighter,4.681563243823125
HALF MAGIC,Light Trap Duochrome Highlighter,23.0,5.0,35,Highlighter,4.786338797814208
about-face,Light Lock Highlight Fluid,21.0,4.4,13,Highlighter,4.369653916211293
Revolution Beauty,Bright Light Face Glow,12.0,4.3,7,Highlighter,4.3329007285974495
Essence,Pure Nude Highlighter,4.99,4.5,1456,Highlighter,4.498227846222904
Tarte,Glowing Cheeks Blush & Highlight Duo,24.0,4.7,7,Highlighter,4.449567395264116
Essence,It's Bubble Gum Fun Liquid Highlighter,5.99,4.0,4,Highlighter,4.280457975539942
Winky Lux,Cheeky Rose Liquid Highlighter,19.0,4.7,97,Highlighter,4.647277346371393
Essence,Pure Nude Sunlighter,4.99,4.7,128,Highlighter,4.658549086112681
Essence,Meta Glow Highlighter,5.99,5.0,5,Highlighter,4.4949826130154
Revolution Beauty,Bright Light Glow Drops,12.0,2.5,6,Highlighter,3.864765977666904
HALF MAGIC,Beam Trap Skin Illuminating Balm,23.0,4.8,8,Highlighter,4.4915846994535515
Dior,Dior Forever Luminizer,50.0,4.7,105,Highlighter,4.6507345695601545
FENTY BEAUTY by Rihanna,Match Stix Glow Skinstick,32.0,2.9,35,Highlighter,3.3728772593526695
CoverGirl,TruBlend Skin Enhancer Luminizer,12.99,4.4,1161,Highlighter,4.3992271795299995
Revlon,Colorstay Face & Body Glow Lotion,11.99,4.1,1905,Highlighter,4.1021798217931
Winky Lux,Cheeky Rose Highlighter,20.0,4.5,60,Highlighter,4.46609892839401
Milani,Supercharged Highlighter Multistick,9.99,3.5,327,Highlighter,3.5418302833905195
NATASHA DENONA,Berry Pop Cheek Trio,48.0,4.7,196,Highlighter,4.6717822417199
NABLA,Skin Glazing,18.9,4.5,114,Highlighter,4.480073415926251
Pixi,Pixi + Hello Kitty Hello Glow-y Powder,18.0,3.6,18,Highlighter,3.9625604996096797
af94,It Takes 2 Bronzer Highlight Duo,9.0,4.1,16,Highlighter,4.22695810564663
Wet n Wild,MegaGlo Highlighting Powder,5.99,4.5,1305,Highlighter,4.498025429263493
NATASHA DENONA,Rose Cheek Duo - Cream Blush and Highlighter,20.0,4.7,27,Highlighter,4.563400397416791
Ofra Cosmetics,Cotton Candy Skies Midi Palette,35.0,5.0,3,Highlighter,4.444480874316939
Ofra Cosmetics,Good To Go Mini Mix Face Palette,39.0,4.5,6,Highlighter,4.386505108101686
NATASHA DENONA,Mini Bronze & Glow,20.0,4.5,20,Highlighter,4.4294491212524
Tarte,Maracuja Juicy Glow,30.0,3.9,11,Highlighter,4.171057767369242
Milani,Conceal & Perfect Face Lift Collection Liquid Highlighter,10.99,4.6,224,Highlighter,4.582114595378998
Anastasia Beverly Hills,"Face Palette - All In One Bronzer, Highlight, Blush",58.0,4.5,600,Highlighter,4.49576923417559
KYLIE COSMETICS,Body Glow,25.0,3.8,278,Highlighter,3.831490228767249
Wet n Wild,MegaGlo Dual-Ended Contour Stick,6.99,3.1,210,Highlighter,3.1933463325389373
FLOWER Beauty,Spotlight Liquid Highlight,14.5,4.0,130,Highlighter,4.040065425077135
jane iredale,Glow Time Highlighter Stick,40.0,4.4,949,Highlighter,4.3990575750376175
Ofra Cosmetics,Sunset Dreams Midi Palette,35.0,5.0,1,Highlighter,4.382756527018822
J.Cat Beauty,Aura Glow Liquid Highlighter,8.99,3.6,61,Highlighter,3.76268740367101
J.Cat Beauty,You Glow Girl Baked Highlighter,9.99,4.5,20,Highlighter,4.4294491212524
Ofra Cosmetics,Star Lit Liquid Highlighter,20.3,4.0,14,Highlighter,4.189987660849639
Revolution Beauty,Bright Light Highlighter,5.0,2.9,150,Highlighter,3.0472432184810705
FENTY BEAUTY by Rihanna,Demi'Glow Light-Diffusing Highlighter,28.0,4.0,27,Highlighter,4.133854942871337
Petite n Pretty,9021-Glow! Cheek & Highlighter Duo,18.0,4.6,32,Highlighter,4.512033009925282
KIKO Milano,Radiant Touch Creamy Stick Highlighter,15.0,4.5,202,Highlighter,4.488080445143099
J.Cat Beauty,3D Glow Pop Holo Stick,5.99,4.6,43,Highlighter,4.528160291438979
Revolution Beauty,Radiance Shimmer Oil,17.0,3.5,2,Highlighter,4.257348288754673
ICONIC LONDON,Radiance Booster Dewy Tinted Moisturizer,39.0,4.7,42,Highlighter,4.598129109937945
L.A. Girl,Velvet Contour Highlight Stick,5.99,3.3,48,Highlighter,3.5736864228667504
Wet n Wild,MegaGlo Makeup Stick Conceal,4.49,4.0,587,Highlighter,4.009751022328376
ICONIC LONDON,Silk Glow Duo Blush & Highlight Gel-Powders,39.0,5.0,30,Highlighter,4.76360888268806
RMS Beauty,Master Radiance Base,40.0,4.8,465,Highlighter,4.784003355780786
FENTY BEAUTY by Rihanna,Mini Eaze Drop'lit All-Over Glow Enhancer,22.0,2.6,8,Highlighter,3.787584699453552
J.Cat Beauty,Shimmery Powder,3.45,4.6,56,Highlighter,4.540953664196421
Petite n Pretty,Dream Land Makeup Starter Set,36.0,5.0,8,Highlighter,4.555584699453552
J.Cat Beauty,2 In 1 Piece Of Cake Blush + Highlighter,8.99,2.6,5,Highlighter,3.949528067560854
UOMA Beauty,Double Take Freed Highlight Stick,25.0,3.0,2,Highlighter,4.204716709807305
BOBBI BROWN,Mini Highlighting Powder,29.0,4.7,323,Highlighter,4.682322404371585
FLOWER Beauty,Stellar Prismatic Highlighter,15.0,3.3,50,Highlighter,3.565516678900579
Petite n Pretty,WhimsiCali Eye & Cheek Palette,26.0,4.6,34,Highlighter,4.515482695810564
LORAC,Light Source Mega Beam Highlighter,24.0,4.7,175,Highlighter,4.668695924408015
Petite n Pretty,3-in-1 The Glow Up All Over Stick,18.0,4.5,17,Highlighter,4.423224043715847
Physicians Formula,Butter Highlighter,11.99,4.6,1538,Highlighter,4.597228049830442
ICONIC LONDON,Rollaway Glow Liquid Highlighter Rollerball,29.0,4.8,21,Highlighter,4.597095197008915
Ofra Cosmetics,Head in the Clouds Mini Mix Palette,42.0,5.0,1,Highlighter,4.382756527018822
Petite n Pretty,9021-Glow! Eye & Cheek Palette,26.0,4.8,89,Highlighter,4.727260542323951
Revlon,SkinLights Face Glow Illuminator,14.49,4.2,11,Highlighter,4.288914910226386
ICONIC LONDON,Kissed By The Sun Multi-Use Cheek Glow,29.0,5.0,29,Highlighter,4.758469945355191
Petite n Pretty,CactiCali Make Up Starter Set,36.0,5.0,4,Highlighter,4.470934166016133
UOMA Beauty,Double Take Skin Perfecting Highlighter,25.0,5.0,1,Highlighter,4.382756527018822
FLOWER Beauty,Shimmer & Strobe Highlighting Palette,16.0,4.8,226,Highlighter,4.768270030807978
J.Cat Beauty,Symphony Face Obsession,11.99,4.3,28,Highlighter,4.317547055251973
Well People,Supernatural Stick Highlighter,22.0,4.4,142,Highlighter,4.394274323813452
Revlon,SkinLights Prismatic Highlighter,14.49,4.4,695,Highlighter,4.398721372874072
Milani,Baked Highlighter,11.99,4.6,164,Highlighter,4.576185731968723
Physicians Formula,Murumuru Butter Glow Face Palette,12.99,4.0,121,Highlighter,4.042678387582165
KIKO Milano,Glitter Baked Highlighter,23.5,3.6,7,Highlighter,4.128734061930783
Physicians Formula,Butter Dream Team Palette,18.99,4.5,87,Highlighter,4.474900168137873
Physicians Formula,Butter Glow Liquid Highlighter,15.99,4.5,79,Highlighter,4.472808515482696
NATASHA DENONA,Pastel Plexi Glow Highlighter,44.0,4.4,42,Highlighter,4.384569787904048
Wet n Wild,MegaGlo Makeup Stick Highlight,4.49,4.5,8,Highlighter,4.3955846994535515
Revolution Beauty,Bubble Balm Highlighter,7.0,4.3,8,Highlighter,4.331584699453551
J.Cat Beauty,Deja Brew Latte Highlighter,9.99,4.3,3,Highlighter,4.339480874316939
