Brand,Product Name,Price,Stars,Reviews,Category,Weighted_Rating
BOBBI BROWN,Waterproof Color Corrector Cream,33.0,4.6,534,Color Correcting,4.562298107983387
Clinique,Even Better All-Over Primer and Color Corrector,32.0,3.2,68,Color Correcting,3.6601454545454546
NARS,Light Reflecting Eye Brightener,34.0,4.6,575,Color Correcting,4.5647439585730725
NYX Professional Makeup,3C Color Correcting Concealer Palette,12.0,4.0,608,Color Correcting,4.017922077922078
ULTA Beauty Collection,Color Correcting Liquid Concealer,12.0,4.2,548,Color Correcting,4.200856498873028
Live Tinted,Huestick Color Corrector,26.0,4.6,2746,Color Correcting,4.592050724872701
OLEHENRIKSEN,Banana Bright Vitamin CC Sticks for Dark Circles,35.0,4.5,772,Color Correcting,4.479997806777059
Milani,Supercharged Brightening Undereye Tint,10.99,4.3,531,Color Correcting,4.291187384044527
Clinique,Redness Solutions Instant Relief Mineral Pressed Powder,42.0,3.9,57,Color Correcting,4.054545454545455
Revolution Beauty,Revolution Eye Bright Under Eye Corrector,8.0,4.4,93,Color Correcting,4.327454545454546
HOURGLASS,Ambient Lighting Palette - Volume lll,73.0,4.9,13,Color Correcting,4.337402597402598
NYX Professional Makeup,Studio Perfect Color Correcting Primer in Green,14.0,3.8,1248,Color Correcting,3.817868338557993
Milani,Conceal & Perfect Face Lift Collection Undereye Brightener,10.99,4.4,301,Color Correcting,4.369603859827324
Winky Lux,Peeper Correct Color Corrector,14.0,4.3,21,Color Correcting,4.233566433566433
NATASHA DENONA,Hy-Glam Correcting Concealer,30.0,4.7,27,Color Correcting,4.366883116883117
FLOWER Beauty,Bright Eyed Under Eye Corrector,13.0,4.5,8,Color Correcting,4.244895104895105
Tarte,Travel-Size Shape Tape Corrector,15.0,2.5,6,Color Correcting,4.046320346320346
jane iredale,HydroPure Color Correcting Serum with Hyaluronic Acid & CoQ10,58.0,3.6,101,Color Correcting,3.819735327963176
J.Cat Beauty,Color Corrector Quad Spectrum Palette,6.99,4.1,30,Color Correcting,4.171473354231974
Charlotte Tilbury,Magic Vanish Color Corrector,32.0,4.3,13,Color Correcting,4.2259740259740255
Erborian,Travel Size CC Red Correct Green Color Corrector SPF25,25.0,4.6,460,Color Correcting,4.556901705644452
Urban Decay Cosmetics,All Nighter Waterproof Makeup Setting Spray,36.0,4.7,7787,Setting Spray and Powder,4.697492993450751
Morphe,Bake & Set Setting Powder,15.0,4.6,1553,Setting Spray and Powder,4.590729296493838
Charlotte Tilbury,Airbrush Flawless Finish Setting Powder,48.0,4.0,77,Setting Spray and Powder,4.111660829493087
Milani,Make It Last Original - Natural Finish Setting Spray,10.99,4.5,1371,Setting Spray and Powder,4.492922906051188
MAC,Mini MAC Prep + Prime Fix+ Primer and Setting Spray,18.0,4.5,2875,Setting Spray and Powder,4.496564352954716
Charlotte Tilbury,Travel Size Airbrush Flawless Setting Spray,11.5,4.0,125,Setting Spray and Powder,4.080679790096162
Morphe,Continuous Setting Mist,17.0,4.5,3422,Setting Spray and Powder,4.497105937661855
Laura Mercier,Translucent Loose Setting Powder Ultra-Blur,48.0,4.6,1512,Setting Spray and Powder,4.5904856433888686
Maybelline,Fit Me Matte + Poreless Powder,9.99,4.3,964,Setting Spray and Powder,4.299562849492723
Charlotte Tilbury,Airbrush Flawless Setting Spray Duo,40.0,4.7,11,Setting Spray and Powder,4.367078028587049
Charlotte Tilbury,Airbrush Flawless Setting Spray,38.0,4.0,125,Setting Spray and Powder,4.080679790096162
Laura Mercier,Translucent Loose Setting Powder,43.0,4.7,11270,Setting Spray and Powder,4.6982644993538285
Clinique,Blended Face Powder,36.0,4.4,1385,Setting Spray and Powder,4.396341663424031
